date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:16:12	14433/14433	---M--	200	added ('OK')	image/png	etag:%223861-5cb1de7d-445e636d88eb6d5d;;;%22	https://html.gridbootstrap.com/adrion/images/others/icon4.png	html.gridbootstrap.com/adrion/images/others/icon4.png	(from https://html.gridbootstrap.com/adrion/index3.html)
23:16:14	42189/42189	---M--	200	added ('OK')	image/jpeg	etag:%22a4cd-5cb1de7d-2a742526c5886acf;;;%22	https://html.gridbootstrap.com/adrion/images/portfolio/featured1.jpg	html.gridbootstrap.com/adrion/images/portfolio/featured1.jpg	(from https://html.gridbootstrap.com/adrion/index3.html)
23:16:15	11313/11313	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Apr%202019%2013:05:01%20GMT	https://html.gridbootstrap.com/adrion/portfolio-details.html	html.gridbootstrap.com/adrion/portfolio-details.html	(from https://html.gridbootstrap.com/adrion/index3.html)
23:16:16	65200/65200	---M--	200	added ('OK')	image/jpeg	etag:%22feb0-5cb1de7d-9724117035879420;;;%22	https://html.gridbootstrap.com/adrion/images/portfolio/featured3.jpg	html.gridbootstrap.com/adrion/images/portfolio/featured3.jpg	(from https://html.gridbootstrap.com/adrion/index3.html)
23:16:17	336459/336459	---M--	200	added ('OK')	image/jpeg	etag:%225224b-5cb1de7d-c9df1a1f0049ffb6;;;%22	https://html.gridbootstrap.com/adrion/images/portfolio/featured2.jpg	html.gridbootstrap.com/adrion/images/portfolio/featured2.jpg	(from https://html.gridbootstrap.com/adrion/index3.html)
23:16:18	222565/222565	---M--	200	added ('OK')	image/jpeg	etag:%2236565-5cb1de7d-cf25e46905ed48ba;;;%22	https://html.gridbootstrap.com/adrion/images/portfolio/1.jpg	html.gridbootstrap.com/adrion/images/portfolio/1.jpg	(from https://html.gridbootstrap.com/adrion/index3.html)
23:16:19	259064/259064	---M--	200	added ('OK')	image/jpeg	etag:%223f3f8-5cb1de7d-5f49c7daa70e7a48;;;%22	https://html.gridbootstrap.com/adrion/images/portfolio/2.jpg	html.gridbootstrap.com/adrion/images/portfolio/2.jpg	(from https://html.gridbootstrap.com/adrion/index3.html)
23:16:19	61125/61125	---M--	200	added ('OK')	image/jpeg	etag:%22eec5-5cb1de7d-23d67505b9d23450;;;%22	https://html.gridbootstrap.com/adrion/images/portfolio/3.jpg	html.gridbootstrap.com/adrion/images/portfolio/3.jpg	(from https://html.gridbootstrap.com/adrion/index3.html)
23:16:21	291804/291804	---M--	200	added ('OK')	image/jpeg	etag:%22473dc-5cb1de7d-5c54340b5ee3490f;;;%22	https://html.gridbootstrap.com/adrion/images/portfolio/4.jpg	html.gridbootstrap.com/adrion/images/portfolio/4.jpg	(from https://html.gridbootstrap.com/adrion/index3.html)
23:16:21	125750/125750	---M--	200	added ('OK')	image/jpeg	etag:%221eb36-5cb1de7d-7b702e4efbacf835;;;%22	https://html.gridbootstrap.com/adrion/images/portfolio/5.jpg	html.gridbootstrap.com/adrion/images/portfolio/5.jpg	(from https://html.gridbootstrap.com/adrion/index3.html)
23:16:22	36238/36238	---M--	200	added ('OK')	image/jpeg	etag:%228d8e-5cb1de7d-76f9e60a9d2c1398;;;%22	https://html.gridbootstrap.com/adrion/images/portfolio/6.jpg	html.gridbootstrap.com/adrion/images/portfolio/6.jpg	(from https://html.gridbootstrap.com/adrion/index3.html)
